"","GEOID","NAME","geometry","latitude","longitude"
"82","24033801409","Census Tract 8014.09, Prince George's County, Maryland",c(-76.984094589304, 38.7869002543299),-76.984094589304,38.7869002543299
"83","24033801410","Census Tract 8014.10, Prince George's County, Maryland",c(-77.0228896404366, 38.7555751758357),-77.0228896404366,38.7555751758357
"84","24033801411","Census Tract 8014.11, Prince George's County, Maryland",c(-77.0053584588141, 38.7690691098672),-77.0053584588141,38.7690691098672
"85","24033801500","Census Tract 8015, Prince George's County, Maryland",c(-77.0109659780602, 38.8051760647274),-77.0109659780602,38.8051760647274
"86","24033801600","Census Tract 8016, Prince George's County, Maryland",c(-76.9965211011609, 38.8203008924566),-76.9965211011609,38.8203008924566
"87","24033801701","Census Tract 8017.01, Prince George's County, Maryland",c(-76.9435920354493, 38.8066610946968),-76.9435920354493,38.8066610946968
"88","24033801702","Census Tract 8017.02, Prince George's County, Maryland",c(-76.9587388200633, 38.8103344886645),-76.9587388200633,38.8103344886645
"89","24033801704","Census Tract 8017.04, Prince George's County, Maryland",c(-76.9808002806508, 38.8234905119885),-76.9808002806508,38.8234905119885
"90","24033801706","Census Tract 8017.06, Prince George's County, Maryland",c(-76.9603372656751, 38.823111279878),-76.9603372656751,38.823111279878
"91","24033801707","Census Tract 8017.07, Prince George's County, Maryland",c(-76.9849948396559, 38.8131752924882),-76.9849948396559,38.8131752924882
"92","24033801708","Census Tract 8017.08, Prince George's County, Maryland",c(-76.9647770686945, 38.8159403030824),-76.9647770686945,38.8159403030824
"93","24033801801","Census Tract 8018.01, Prince George's County, Maryland",c(-76.9478682281388, 38.8291945936288),-76.9478682281388,38.8291945936288
"94","24033801802","Census Tract 8018.02, Prince George's County, Maryland",c(-76.9504922403294, 38.8349194406043),-76.9504922403294,38.8349194406043
"95","24033801804","Census Tract 8018.04, Prince George's County, Maryland",c(-76.9581339115837, 38.8408306191992),-76.9581339115837,38.8408306191992
"96","24033801805","Census Tract 8018.05, Prince George's County, Maryland",c(-76.9557795337699, 38.846371610378),-76.9557795337699,38.846371610378
"97","24033801807","Census Tract 8018.07, Prince George's County, Maryland",c(-76.9717743485292, 38.8366746176828),-76.9717743485292,38.8366746176828
"98","24033801808","Census Tract 8018.08, Prince George's County, Maryland",c(-76.9624994348998, 38.8326984166953),-76.9624994348998,38.8326984166953
"99","24033801901","Census Tract 8019.01, Prince George's County, Maryland",c(-76.926942970062, 38.8083764584118),-76.926942970062,38.8083764584118
"100","24033801904","Census Tract 8019.04, Prince George's County, Maryland",c(-76.9054244968635, 38.812540651275),-76.9054244968635,38.812540651275
"101","24033801905","Census Tract 8019.05, Prince George's County, Maryland",c(-76.9096062735746, 38.8257873701054),-76.9096062735746,38.8257873701054
"102","24033801906","Census Tract 8019.06, Prince George's County, Maryland",c(-76.8882305572008, 38.830171376948),-76.8882305572008,38.830171376948
"103","24033801907","Census Tract 8019.07, Prince George's County, Maryland",c(-76.9349993366698, 38.8290579422511),-76.9349993366698,38.8290579422511
"104","24033801908","Census Tract 8019.08, Prince George's County, Maryland",c(-76.9437466911131, 38.8444212730983),-76.9437466911131,38.8444212730983
"105","24033802001","Census Tract 8020.01, Prince George's County, Maryland",c(-76.9195319148761, 38.8401337750221),-76.9195319148761,38.8401337750221
"106","24033802002","Census Tract 8020.02, Prince George's County, Maryland",c(-76.9149324988034, 38.8479011998872),-76.9149324988034,38.8479011998872
"107","24033802103","Census Tract 8021.03, Prince George's County, Maryland",c(-76.8908136144912, 38.8484013960735),-76.8908136144912,38.8484013960735
"108","24033802104","Census Tract 8021.04, Prince George's County, Maryland",c(-76.8792405954193, 38.837414037966),-76.8792405954193,38.837414037966
"109","24033802106","Census Tract 8021.06, Prince George's County, Maryland",c(-76.8947129983632, 38.8403248167516),-76.8947129983632,38.8403248167516
"110","24033802107","Census Tract 8021.07, Prince George's County, Maryland",c(-76.9028468260519, 38.8429820304434),-76.9028468260519,38.8429820304434
"111","24033802201","Census Tract 8022.01, Prince George's County, Maryland",c(-76.8527879720016, 38.8432239274713),-76.8527879720016,38.8432239274713
"112","24033802203","Census Tract 8022.03, Prince George's County, Maryland",c(-76.8703509526467, 38.8520713328434),-76.8703509526467,38.8520713328434
"113","24033802204","Census Tract 8022.04, Prince George's County, Maryland",c(-76.86112185866, 38.872154759508),-76.86112185866,38.872154759508
"114","24033802301","Census Tract 8023.01, Prince George's County, Maryland",c(-76.8906581377458, 38.8572105853774),-76.8906581377458,38.8572105853774
"115","24033802404","Census Tract 8024.04, Prince George's County, Maryland",c(-76.8910218497398, 38.8641804544215),-76.8910218497398,38.8641804544215
"116","24033802405","Census Tract 8024.05, Prince George's County, Maryland",c(-76.9366221491637, 38.8553390441626),-76.9366221491637,38.8553390441626
"117","24033802406","Census Tract 8024.06, Prince George's County, Maryland",c(-76.9210812739713, 38.8553518616782),-76.9210812739713,38.8553518616782
"118","24033802407","Census Tract 8024.07, Prince George's County, Maryland",c(-76.9090405457512, 38.8594612126678),-76.9090405457512,38.8594612126678
"119","24033802408","Census Tract 8024.08, Prince George's County, Maryland",c(-76.9197784064872, 38.865110319911),-76.9197784064872,38.865110319911
"120","24033802501","Census Tract 8025.01, Prince George's County, Maryland",c(-76.9450297055162, 38.8622183746858),-76.9450297055162,38.8622183746858
"121","24033802502","Census Tract 8025.02, Prince George's County, Maryland",c(-76.9301934310239, 38.8692155166935),-76.9301934310239,38.8692155166935
"122","24033802600","Census Tract 8026, Prince George's County, Maryland",c(-76.924182118319, 38.8755393963849),-76.924182118319,38.8755393963849
"123","24033802700","Census Tract 8027, Prince George's County, Maryland",c(-76.9143563498311, 38.8840460789563),-76.9143563498311,38.8840460789563
"124","24033802803","Census Tract 8028.03, Prince George's County, Maryland",c(-76.9055060360171, 38.8739315253992),-76.9055060360171,38.8739315253992
"125","24033802804","Census Tract 8028.04, Prince George's County, Maryland",c(-76.8789107303052, 38.8807565439709),-76.8789107303052,38.8807565439709
"126","24033802805","Census Tract 8028.05, Prince George's County, Maryland",c(-76.8878447271078, 38.8939510512847),-76.8878447271078,38.8939510512847
"127","24033802901","Census Tract 8029.01, Prince George's County, Maryland",c(-76.9034187283241, 38.8937383347795),-76.9034187283241,38.8937383347795
"128","24033803001","Census Tract 8030.01, Prince George's County, Maryland",c(-76.9110487461602, 38.9025646533785),-76.9110487461602,38.9025646533785
"129","24033803002","Census Tract 8030.02, Prince George's County, Maryland",c(-76.8954326164724, 38.9033213015577),-76.8954326164724,38.9033213015577
"130","24033803100","Census Tract 8031, Prince George's County, Maryland",c(-76.9165796107386, 38.9101985818036),-76.9165796107386,38.9101985818036
"131","24033803200","Census Tract 8032, Prince George's County, Maryland",c(-76.8981626064824, 38.9221491004746),-76.8981626064824,38.9221491004746
