GEOID,total_pop,white_pop,perc_no_cars,pct_nonwhite,,,,TRACTCODE,,TRACTCODE,perc_no_car,,TRACTCODE,pct_nonwhite,,TRACTCODE,total_pop
24033801704,5018,274,24.1,95,,,,24033801704,,033801704,24.1,,033801704,95,,033801704,5018
24033801706,1560,87,5.8,94,,,,24033801706,,033801706,5.8,,033801706,94,,033801706,1560
24033801707,6430,163,20.2,97,,,,24033801707,,033801707,20.2,,033801707,97,,033801707,6430
24033801708,3690,338,14.9,91,,,,24033801708,,033801708,14.9,,033801708,91,,033801708,3690
24033801801,2089,20,14.3,99,,,,24033801801,,033801801,14.3,,033801801,99,,033801801,2089
24033801802,3547,91,28.9,97,,,,24033801802,,033801802,28.9,,033801802,97,,033801802,3547
24033801804,2147,115,7.1,95,,,,24033801804,,033801804,7.1,,033801804,95,,033801804,2147
24033801805,2277,120,33.1,95,,,,24033801805,,033801805,33.1,,033801805,95,,033801805,2277
24033801807,4888,130,15.6,97,,,,24033801807,,033801807,15.6,,033801807,97,,033801807,4888
24033801808,4168,342,11.9,92,,,,24033801808,,033801808,11.9,,033801808,92,,033801808,4168
24033801901,4877,443,2.4,91,,,,24033801901,,033801901,2.4,,033801901,91,,033801901,4877
24033801904,3219,376,15.7,88,,,,24033801904,,033801904,15.7,,033801904,88,,033801904,3219
24033801905,6128,770,6,87,,,,24033801905,,033801905,6,,033801905,87,,033801905,6128
24033801906,1825,465,11.7,75,,,,24033801906,,033801906,11.7,,033801906,75,,033801906,1825
24033801907,2888,158,19.6,95,,,,24033801907,,033801907,19.6,,033801907,95,,033801907,2888
24033801908,3257,26,13.1,99,,,,24033801908,,033801908,13.1,,033801908,99,,033801908,3257
24033802001,5381,202,22.5,96,,,,24033802001,,033802001,22.5,,033802001,96,,033802001,5381
24033802002,3625,205,11.7,94,,,,24033802002,,033802002,11.7,,033802002,94,,033802002,3625
24033802103,3340,264,2.2,92,,,,24033802103,,033802103,2.2,,033802103,92,,033802103,3340
24033802104,1941,83,18.7,96,,,,24033802104,,033802104,18.7,,033802104,96,,033802104,1941
